Date,Genesis,Matthew,Psalms,Proverbs
1,2Cr 30:1-31:21,Rm 15:1-22,Sl 25:1-15,Pv 20:13-15
2,2Cr 32:1-33:13,Rm 15:23-16:9,Sl 25:16-22,Pv 20:16-18
3,2Cr 33:14-34:33,Rm 16:10-27,Sl 26:1-12,Pv 20:19
4,2Cr 35:1-36:23,1Co 1:1-17,Sl 27:1-6,Pv 20:20-21
5,Ed 1:1-2:70,1Co 1:18-2:5,Sl 27:7-14,Pv 20:22-23
6,Ed 3:1-4:23,1Co 2:6-3:4,Sl 28:1-9,Pv 20:24-25
7,Ed 4:24-6:22,1Co 3:5-23,Sl 29:1-11,Pv 20:26-27
8,Ed 7:1-8:20,1Co 4:1-21,Sl 30:1-12,Pv 20:28-30
9,Ed 8:21-9:15,1Co 5:1-13,Sl 31:1-8,Pv 21:1-2
10,Ed 10:1-44,1Co 6:1-20,Sl 31:9-18,Pv 21:3
11,Ne 1:1-3:14,1Co 7:1-24,Sl 31:19-24,Pv 21:4
12,Ne 3:15-5:13,1Co 7:25-40,Sl 32:1-11,Pv 21:5-7
13,Ne 5:14-7:73,1Co 8:1-13,Sl 33:1-11,Pv 21:8-10
14,Ne 7:73-9:21,1Co 9:1-18,Sl 33:12-22,Pv 21:11-12
15,Ne 9:22-10:39,1Co 9:19-10:13,Sl 34:1-10,Pv 21:13
16,Ne 11:1-12:26,1Co 10:14-33,Sl 34:11-22,Pv 21:14-16
17,Ne 12:27-13:31,1Co 11:1-16,Sl 35:1-16,Pv 21:17-18
18,Et 1:1-3:15,1Co 11:17-34,Sl 35:17-28,Pv 21:19-20
19,Et 4:1-7:10,1Co 12:1-26,Sl 36:1-12,Pv 21:21-22
20,Et 8:1-10:3,1Co 12:27-13:13,Sl 37:1-11,Pv 21:23-24
21,Jó 1:1-3:26,1Co 14:1-17,Sl 37:12-29,Pv 21:25-26
22,Jó 4:1-7:21,1Co 14:18-40,Sl 37:30-40,Pv 21:27
23,Jó 8:1-11:20,1Co 15:1-28,Sl 38:1-22,Pv 21:28-29
24,Jó 12:1-15:35,1Co 15:29-58,Sl 39:1-13,Pv 21:30-31
25,Jó 16:1-19:29,1Co 16:1-24,Sl 40:1-10,Pv 22:1
26,Jó 20:1-22:30,2Co 1:1-11,Sl 40:11-17,Pv 22:2-4
27,Jó 23:1-27:23,2Co 1:12-2:11,Sl 41:1-13,Pv 22:5-6
28,Jó 28:1-30:31,2Co 2:12-17,Sl 42:1-11,Pv 22:7
29,Jó 31:1-33:33,2Co 3:1-18,Sl 43:1-5,Pv 22:8-9
30,Jó 34:1-36:33,2Co 4:1-12,Sl 44:1-8,Pv 22:10-12
31,Jó 37:1-39:30,2Co 4:13-5:10,Sl 44:9-26,Pv 22:13
1,Jó 40:1-42:17,2Co 5:11-21,Sl 45:1-17,Pv 22:14
2,Ec 1:1-3:22,2Co 6:1-13,Sl 46:1-11,Pv 22:15
3,Ec 4:1-6:12,2Co 6:14-7:7,Sl 47:1-9,Pv 22:16
4,Ec 7:1-9:18,2Co 7:8-16,Sl 48:1-14,Pv 22:17-19
5,Ec 10:1-12:14,2Co 8:1-15,Sl 49:1-20,Pv 22:20-21
6,Ct 1:1-4:16,2Co 8:16-24,Sl 50:1-23,Pv 22:22-23
7,Ct 5:1-8:14,2Co 9:1-15,Sl 51:1-19,Pv 22:24-25
8,Is 1:1-2:22,2Co 10:1-18,Sl 52:1-9,Pv 22:26-27
9,Is 3:1-5:30,2Co 11:1-15,Sl 53:1-6,Pv 22:28-29
10,Is 6:1-7:25,2Co 11:16-33,Sl 54:1-7,Pv 23:1-3
11,Is 8:1-9:21,2Co 12:1-10,Sl 55:1-23,Pv 23:4-5
12,Is 10:1-11:16,2Co 12:11-21,Sl 56:1-13,Pv 23:6-8
13,Is 12:1-14:32,2Co 13:1-14,Sl 57:1-11,Pv 23:9-11
14,Is 15:1-18:7,Gl 1:1-24,Sl 58:1-11,Pv 23:12
15,Is 19:1-21:17,Gl 2:1-16,Sl 59:1-17,Pv 23:13-14
16,Is 22:1-24:23,Gl 2:17-3:9,Sl 60:1-12,Pv 23:15-16
17,Is 25:1-28:13,Gl 3:10-22,Sl 61:1-8,Pv 23:17-18
18,Is 28:14-30:11,Gl 3:23-4:31,Sl 62:1-12,Pv 23:19-21
19,Is 30:12-33:9,Gl 5:1-12,Sl 63:1-11,Pv 23:22
20,Is 33:10-36:22,Gl 5:13-26,Sl 64:1-10,Pv 23:23
21,Is 37:1-38:22,Gl 6:1-18,Sl 65:1-13,Pv 23:24
22,Is 39:1-41:16,Ef 1:1-23,Sl 66:1-20,Pv 23:25-28
23,Is 41:17-43:13,Ef 2:1-22,Sl 67:1-7,Pv 23:29-35
24,Is 43:14-45:10,Ef 3:1-21,Sl 68:1-18,Pv 24:1-2
25,Is 45:11-48:11,Ef 4:1-16,Sl 68:19-35,Pv 24:3-4
